rating,songName,artistName,genre
1,ROCKSTAR (feat. Roddy Ricch),"['DaBaby', 'Roddy Ricch']","['nc hip hop', 'rap', 'melodic rap', 'rap']"
2,Blinding Lights,['The Weeknd'],"['canadian contemporary r&b', 'canadian pop', 'pop']"
3,Roses - Imanbek Remix,"['SAINt JHN', 'Imanbek']","['melodic rap', 'pop rap', 'rap', 'trap']"
4,Rain On Me (with Ariana Grande),"['Lady Gaga', 'Ariana Grande']","['dance pop', 'pop', 'dance pop', 'pop', 'post-teen pop']"
5,death bed (coffee for your head) (feat. beabadoobee),"['Powfu', 'beabadoobee']","['bedroom pop', 'indie pop']"
6,Toosie Slide,['Drake'],"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
7,Watermelon Sugar,['Harry Styles'],"['pop', 'post-teen pop']"
8,Dance Monkey,['Tones And I'],['australian pop']
9,Don't Start Now,['Dua Lipa'],"['dance pop', 'pop', 'uk pop']"
10,Savage Love (Laxed - Siren Beat),"['Jawsh 685', 'Jason Derulo']","['dance pop', 'pop', 'pop rap', 'post-teen pop', 'urban contemporary']"
11,ily (i love you baby) (feat. Emilee),"['Surf Mesa', 'Emilee']",[]
12,Party Girl,['StaySolidRocky'],[]
13,Break My Heart,['Dua Lipa'],"['dance pop', 'pop', 'uk pop']"
14,Breaking Me,"['Topic', 'A7S']","['german dance', 'pop edm', 'tropical house']"
15,Blueberry Faygo,['Lil Mosey'],"['melodic rap', 'rap conscient', 'trap', 'vapor trap']"
16,Supalonely,"['BENEE', 'Gus Dapperton']","['nz pop', 'pop', 'bedroom pop', 'indie pop', 'indie poptimism']"
17,The Box,['Roddy Ricch'],"['melodic rap', 'rap']"
18,MAMACITA,"['Black Eyed Peas', 'Ozuna', 'J. Rey Soul']","['dance pop', 'pop', 'pop rap', 'latin', 'puerto rican pop', 'reggaeton', 'trap latino']"
19,Stuck with U (with Justin Bieber),"['Ariana Grande', 'Justin Bieber']","['dance pop', 'pop', 'post-teen pop', 'canadian pop', 'pop', 'post-teen pop']"
20,THE SCOTTS,"['THE SCOTTS', 'Travis Scott', 'Kid Cudi']","['rap', 'hip hop', 'pop rap', 'rap']"
21,GOOBA,['6ix9ine'],['emo rap']
22,Intentions (feat. Quavo),"['Justin Bieber', 'Quavo']","['canadian pop', 'pop', 'post-teen pop', 'atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
23,Someone You Loved,['Lewis Capaldi'],"['pop', 'uk pop']"
24,Sunday Best,['Surfaces'],"['bedroom soul', 'pop']"
25,Savage Remix (feat. Beyoncé),"['Megan Thee Stallion', 'Beyoncé']","['houston rap', 'pop', 'pop rap', 'trap queen', 'dance pop', 'pop', 'r&b']"
26,Tusa,"['KAROL G', 'Nicki Minaj']","['latin', 'reggaeton', 'dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop']"
27,Falling,['Trevor Daniel'],"['alternative r&b', 'melodic rap', 'pop rap']"
28,Say So,['Doja Cat'],"['la indie', 'pop']"
29,La Jeepeta - Remix,"['Nio Garcia', 'Anuel AA', 'Myke Towers', 'Brray', 'Juanka']","['latin', 'reggaeton', 'reggaeton flow', 'tropical', 'latin', 'reggaeton flow', 'trap latino', 'latin', 'trap latino', 'perreo', 'reggaeton flow', 'perreo', 'reggaeton', 'reggaeton flow']"
30,In Your Eyes,['The Weeknd'],"['canadian contemporary r&b', 'canadian pop', 'pop']"
31,Relación,['Sech'],"['latin', 'panamanian pop', 'reggaeton']"
32,Circles,['Post Malone'],"['dfw rap', 'melodic rap', 'rap']"
33,Yo Perreo Sola,['Bad Bunny'],"['latin', 'reggaeton', 'trap latino']"
34,Hasta Que Dios Diga,"['Anuel AA', 'Bad Bunny']","['latin', 'reggaeton flow', 'trap latino', 'latin', 'reggaeton', 'trap latino']"
35,WHATS POPPIN,['Jack Harlow'],"['deep underground hip hop', 'pop rap', 'rap', 'trap']"
36,goosebumps,['Travis Scott'],['rap']
37,TKN (feat. Travis Scott),"['ROSALÍA', 'Travis Scott']","['r&b en espanol', 'rap']"
38,Before You Go,['Lewis Capaldi'],"['pop', 'uk pop']"
