,rating,songName,artistName,genre,lyrics
0,1.0,ROCKSTAR (feat. Roddy Ricch),"['DaBaby', 'Roddy Ricch']","['nc hip hop', 'rap', 'melodic rap', 'rap']",
1,3.3333333333333335,Blinding Lights,['The Weeknd'],"['canadian contemporary r&b', 'canadian pop', 'pop']",
2,5.25,Toosie Slide,['Drake'],"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",
3,10.333333333333334,Dance Monkey,['Tones And I'],['australian pop'],
4,10.75,Rain On Me (with Ariana Grande),"['Lady Gaga', 'Ariana Grande']","['dance pop', 'pop', 'dance pop', 'pop', 'post-teen pop']",
5,11.0,Party Girl,['StaySolidRocky'],[],
6,12.25,Don't Start Now,['Dua Lipa'],"['dance pop', 'pop', 'uk pop']",
7,13.0,The Box,['Roddy Ricch'],"['melodic rap', 'rap']",
8,16.0,Savage Remix (feat. Beyoncé),"['Megan Thee Stallion', 'Beyoncé']","['houston rap', 'pop', 'pop rap', 'trap queen', 'dance pop', 'pop', 'r&b']",
9,16.0,Bluebird,['Miranda Lambert'],"['contemporary country', 'country', 'country dawn', 'country road']",
10,16.5,Intentions,"['Justin Bieber', 'Quavo']","['canadian pop', 'pop', 'post-teen pop', 'atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",
11,16.75,death bed (coffee for your head) (feat. beabadoobee),"['Powfu', 'beabadoobee']","['bedroom pop', 'indie pop']",
12,19.0,Stuck with U (with Justin Bieber),"['Ariana Grande', 'Justin Bieber']","['dance pop', 'pop', 'post-teen pop', 'canadian pop', 'pop', 'post-teen pop']",
13,19.5,Sunday Best,['Surfaces'],"['bedroom soul', 'pop']",
14,21.25,Blueberry Faygo,['Lil Mosey'],"['melodic rap', 'rap conscient', 'trap', 'vapor trap']",
15,22.0,Someone You Loved,['Lewis Capaldi'],"['pop', 'uk pop']",
16,22.5,Die From A Broken Heart,['Maddie & Tae'],"['contemporary country', 'country', 'country pop']",
17,24.0,Hard To Forget,['Sam Hunt'],"['contemporary country', 'country pop']",
18,24.5,One Margarita,['Luke Bryan'],"['contemporary country', 'country', 'country road']",
19,26.5,TROLLZ (with Nicki Minaj),"['6ix9ine', 'Nicki Minaj']","['emo rap', 'dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop']",
20,26.666666666666668,GOOBA,['6ix9ine'],['emo rap'],
21,27.0,THE SCOTTS,"['THE SCOTTS', 'Travis Scott', 'Kid Cudi']","['rap', 'hip hop', 'pop rap', 'rap']",
22,28.25,Watermelon Sugar,['Harry Styles'],"['pop', 'post-teen pop']",
23,28.75,WHATS POPPIN,['Jack Harlow'],"['deep underground hip hop', 'pop rap', 'rap', 'trap']",
24,29.0,Circles,['Post Malone'],"['dfw rap', 'melodic rap', 'rap']",
25,29.75,Roses - Imanbek Remix,"['SAINt JHN', 'Imanbek']","['melodic rap', 'pop rap', 'rap', 'trap']",
26,31.5,High Fashion (feat. Mustard),"['Roddy Ricch', 'Mustard']","['melodic rap', 'rap', 'cali rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",
27,33.25,Break My Heart,['Dua Lipa'],"['dance pop', 'pop', 'uk pop']",
28,34.75,Before You Go,['Lewis Capaldi'],"['pop', 'uk pop']",
29,35.5,Emotionally Scarred,['Lil Baby'],"['atl hip hop', 'atl trap', 'rap']",
