s,songName,artistName,genre,lyrics
1,ROCKSTAR,"['DaBaby', 'Roddy Ricch']","['nc hip hop', 'rap', 'melodic rap', 'rap']","
Woo, woo
I pull up like
How you pull up, Baby? How you pull up? (Oh, oh, oh)
How you pull up? I pull up (Woo, SethInTheKitchen)


Let's go
Brand new Lamborghini, fuck a cop car
With the pistol on my hip like I'm a cop (Yeah, yeah, yeah)
Have you ever met a real nigga rockstar? (Yeah)
This ain't no guitar, bitch, this a Glock (Woo)
My Glock told me to promise you gon' squeeze me (Woo)
You better let me go the day you need me (Woo)
Soon as you up me on that nigga, get to bustin' (Woo)
And if I ain't enough, go get the chop


It's safe to say I earned it, ain't a nigga gave me nothin' (Yeah, yeah, yeah)
I'm ready to hop out on a nigga, get to bustin'
Know you heard me say, ""You play, you lay,"" don't make me push the button
Full of pain, dropped enough tears to fill up a fuckin' bucket
Goin' for buckets, I bought a chopper
I got a big drum, it hold a hundred, ain't goin' for nothin'
I'm ready to air it out on all these niggas, I can see 'em runnin'
Just talked to my mama, she hit me on FaceTime just to check up on me and my brother
I'm really the baby, she know that her youngest son was always guaranteed to get the money (Okay, let's go)
She know that her baby boy was always guaranteed to get the loot
She know what I do, she know 'fore I run from a nigga, I'ma pull it out and shoot (Boom)
PTSD, I'm always waking up in cold sweats like I got the flu
My daughter a G, she saw me kill a nigga in front of her before the age of two
And I'll kill another nigga too
'Fore I let another nigga do somethin' to you
Long as you know that, don't let nobody tell you different
Daddy love you (Yeah, yeah)


Let's go
Brand new Lamborghini, fuck a cop car
With the pistol on my hip like I'm a cop (Yeah, yeah, yeah)
Have you ever met a real nigga rockstar? (Yeah)
This ain't no guitar, bitch, this a Glock (Woo)
My Glock told me to promise you gon' squeeze me (Woo)
You better let me go the day you need me (Woo)
Soon as you up me on that nigga, get to bustin' (Woo, yeah)
And if I ain't enough, go get the chop (Yeah, yeah)


Keep a Glocky when I ride in the Suburban
'Cause the codeine had a young nigga swervin'
I got the mop, watch me wash 'em like detergent
And I'm ballin', that's why it's diamonds on my jersey
Slide on opps' side and flip the block back, yeah, yeah
My junior popped him and left him lopsided, yeah, yeah
We spin his block, got the rebound, Dennis Rodman
Fool me one time, you can't cross me again
Twelve hundred horsepower, I get lost in the wind
If he talkin' on the yard, the pen' dogs'll take his chin
Maybach SUV for my refugees
Buy blocks in the hood, put money in the streets
I was solo when the opps caught me at the gas station
Had it on me, thirty thousand, thought it was my last day
But they ain't even want no smoke
If I had to choose it, murder what she wrote


Let's go
Brand new Lamborghini, fuck a cop car
With the pistol on my hip like I'm a cop (Yeah, yeah, yeah)
Have you ever met a real nigga rockstar? (Yeah)
This ain't no guitar, bitch, this a Glock (Woo)
My Glock told me to promise you gon' squeeze me (Woo)
You better let me go the day you need me (Woo)
Soon as you up me on that nigga, get to bustin' (Woo)
And if I ain't enough, go get the chop"
3.333333333,Blinding Lights,['The Weeknd'],"['canadian contemporary r&b', 'canadian pop', 'pop']","
Yeah


I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm going through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby


I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone


I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey


I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh


The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone


I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust


I'm just coming back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)


I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey
Hey, hey, hey


I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch"
5.25,Toosie Slide,['Drake'],"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']","
Black leather glove, no sequins
Buckles on the jacket, it's Alyx shit
Nike crossbody, got a piece in it
Got a dance, but it's really on some street shit
I'ma show you how to get it


It go right foot up, left foot, slide
Left foot up, right foot, slide
Basically, I'm sayin' either way, we 'bout to slide, ayy
Can't let this one slide, ayy


Don't you wanna dance with me? No?
I could dance like Michael Jackson
I could give you thug passion
It's a Thriller in the trap where we from
Baby, don't you wanna dance with me? No?
I could dance like Michael Jackson
I could give you satisfaction
And you know we out here every day with it
I'ma show you how to get it


It go right foot up, left foot, slide
Left foot up, right foot, slide
Basically, I'm sayin', either way, we 'bout to slide, ayy
Can't let this one slide, ayy (Who's bad?)


Two thousand shorties wanna tie the knot, ayy, yeah
Two hundred shooters on my brother's block, woah, yeah
Petal off a rose like I love her not, maybe not
I don't know what's wrong with me, I can't stop, woah, yeah
Won't stop, woah, yeah, never stop
Got so many opps, I be mistakin' opps for other opps
Got so many people that I love out of troubled spots
Other than the family I got, it's either you or me
That's just how I think, it's either you or me
This life got too deep for you, baby
Two or three of us about to creep where they stayin'


Black leather glove, no sequins
Buckles on the jacket, it's Alyx shit
Nike crossbody, got a piece in it
Got a dance, but it's really on some street shit
I'ma show you how to get it


It go right foot up, left foot, slide
Left foot up, right foot, slide
Basically, I'm sayin' either way, we 'bout to slide, ayy
Can't let this one slide, ayy (Who's bad?)


Toosie slide, then I hit it double-time
Then I hit a spin 'cause we spun their block a couple times
If it's not the right time, there'll always be another time
I'm not even trippin', we'll just see 'em in the summertime, woah, yeah
Can't describe the pressure I be puttin' on myself, yeah
Really, I just can't afford to lose nobody else, yeah
If they movin' shaky, we'll just do this shit ourselves, woah
If I'm movin' shaky, Chubbs'll do this shit himself, yeah
Solo niggas, only YOLO, for real
Heard a lot about you but we don't know for real
Next time, guarantee the truth'll get revealed


Black leather gloves, no sequins, yeah
Buckles on the jacket, it's Alyx shit
Nike crossbody, got a piece in it
Got a dance, but it's really on some street shit
I'ma show you how


It go right foot up, left foot, slide
Left foot up, right foot, slide
Basically, I'm sayin' either way we 'bout to slide, ayy
Can't let this one slide, ayy


Don't you wanna dance with me? No?
I could dance like Michael Jackson (Jackson)
I could give you thug passion (Passion)
It's a Thriller in the trap where we from (Where we from)
Baby, don't you wanna dance with me? No?
I could dance like Michael Jackson (Jackson)
I could give you satisfaction ('Faction)
And you know we out here every day with it
I'ma show you how to get it


It go right foot up, left foot, slide
Left foot up, right foot, slide
Basically, I'm sayin' either way we 'bout to slide
(Who's bad?)"
10.33333333,Dance Monkey,['Tones And I'],['australian pop'],"
They say, ""Oh my God, I see the way you shine
Take your hands, my dear, and place them both in mine""
You know you stopped me dead while I was passing by
And now I beg to see you dance just one more time


Ooh, I see you, see you, see you every time
And oh my, I, I like your style
You, you make me, make me, make me wanna cry
And now I beg to see you dance just one more time


So they say
""Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, ayy-ayy-ayy
And when you’re done, I'll make you do it all again""


I said, ""Oh my God, I see you walking by
Take my hands, my dear, and look me in my eyes""
Just like a monkey, I've been dancin’ my whole life
But you just beg to see me dance just one more time


Ooh, I see you, see you, see you every time
And oh my, I, I like your style
You, you make me, make me, make me wanna cry
And now I beg to see you dance just one more time


So they say
""Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, ayy-ayy-ayy
And when you're done, I'll make you do it all again""
They say
""Dance for me, dance for me, dance for me, oh-oh-oh, oh-oh, oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, ayy-ayy-ayy
And when you're done, I'll make you do it all again""


Ooh, ooh, ooh, ooh, ooh
Oh-oh, oh-oh, oh
Ooh, ooh, ooh, ooh, ooh-ooh
Ooh, ah-ah, ah-ah


They say
""Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, ayy-ayy-ayy
And when you’re done, I’ll make you do it all again""
They say
""Dance for me, dance for me, dance for me, oh-oh-oh, oh-oh, oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, ayy-ayy-ayy
And when you’re done, I'll make you do it all again
All again"""
10.75,Rain On Me,"['Lady Gaga', 'Ariana Grande']","['dance pop', 'pop', 'dance pop', 'pop', 'post-teen pop']","
I didn't ask for a free ride
I only asked you to show me a real good time
I never asked for the rainfall
At least I showed up, you showed me nothing at all


It's coming down on me
Water like misery
It's coming down on me
I'm ready, rain on me


I'd rather be dry, but at least I'm alive
Rain on me, rain, rain
Rain on me, rain, rain
I'd rather be dry, but at least I'm alive
Rain on me, rain, rain
Rain on me


Rain on me
Mmm, oh yeah, baby
Rain on me


Livin' in a world where no one's innocent
Oh, but at least we try, mmm
Gotta live my truth, not keep it bottled in
So I don't lose my mind, baby, yeah


I can feel it on my skin (It's comin' down on me)
Teardrops on my face (Water like misery)
Let it wash away my sins (It's coming down on me)
Let it wash away, yeah


I'd rather be dry, but at least I'm alive
Rain on me, rain, rain
Rain on me, rain, rain
I'd rather be dry, but at least I'm alive
Rain on me, rain, rain
Rain (Rain) on (On) me


Rain on me
Rain on me
Oh yeah, yeah
Rain on me, ooh yeah
Rain on me
Rain on me, ooh


Hands up to the sky
I'll be your galaxy
I'm about to fly
Rain on me, tsunami
Hands up to the sky
I'll be your galaxy
I'm about to fly
Rain on me (Rain on me)


I'd rather be dry, but at least I'm alive (Rain on me)
Rain on me, rain, rain
Rain on me, rain, rain (Rain on me)
I'd rather be dry, but at least I'm alive (At least I'm alive)
Rain on me, rain, rain (Rain on me, babe)
Rain on me (Rain on me)


I hear the thunder comin' down
Won't you rain on me?
Eh, eh, yeah (Rain on, woo)
I hear the thunder comin' down
Won't you rain on me? (Me)
Eh, eh, yeah
Rain on me"
11,Party Girl,['StaySolidRocky'],[],"
Girls just wanna have fun
So they party, so they party
(Ayy, yo, Nashi, you goin' crazy)


Lil' mama a party girl, she just wan' have fun too
They say you ain't wifey type, but I don't care, I want you
She like to do drugs too, she in love with guns too
They say you too piped up, but I think that I love you
Lil' mama a party girl, she just wan' have fun too
They say you ain't wifey type, but I don't care, I want you
She like to do drugs too, she in love with guns too
They say you too piped up, but I think that I love you


She don't want nobody, she don't need somebody
I'm tryna be with you so you don't be without me
She totin' just like me, no, we can't leave without it
She boot up off the meds like she can't breathe without it
She drinkin' Four Lokos, I can't get with those
She wan' give me toto, I tell her come close
She say, ""You say you love me, but I don't know what love means""
I ask her who got her heart, 'cause damn, that nigga lucky
I been tryna reach for it, but it's too far above me
I ain't never do you wrong, so tell me why you don't trust me
She don't do this often, she said it's only because me
You the one who want it, therefore you can never judge me
She just wanna party and nothing's wrong with that
Every time I'm calling, she say she gon' call me back
I told her call me Rocky, she say she not gon' call me that
You say you come with a lot, well, baby, I want all of that


Lil' mama a party girl, she just wan' have fun too
They say you ain't wifey type, but I don't care, I want you
She like to do drugs too, she in love with guns too
They say you too piped up, but I think that I love you
Lil' mama a party girl, she just wan' have fun too
They say you ain't wifey type, but I don't care, I want you
She like to do drugs too, she in love with guns too
They say you too piped up, but I think that I love you


Don't be scared to party, don't be scared to party
Don't be scared to party"
12.25,Don't Start Now,['Dua Lipa'],"['dance pop', 'pop', 'uk pop']","
If you don't wanna see me


Did a full 180, crazy
Thinking 'bout the way I was
Did the heartbreak change me? Maybe
But look at where I ended up
I'm all good already
So moved on, it's scary
I'm not where you left me at all, so


If you don't wanna see me dancing with somebody
If you wanna believe that anything could stop me


Don't show up, don't come out
Don't start caring about me now
Walk away, you know how
Don't start caring about me now


Aren't you the guy who tried to
Hurt me with the word ""goodbye""?
Though it took some time to survive you
I'm better on the other side
I'm all good already
So moved on, it's scary
I'm not where you left me at all, so


If you don't wanna see me dancing with somebody
If you wanna believe that anything could stop me
(Don't, don't, don't)


Don't show up, don't come out
Don't start caring about me now
Walk away, you know how
Don't start caring about me now ('Bout me now, 'bout me)


Up, up
Don't come out, out, out
Don't show up, up, up
Don't start now (Oh)
Up, up
Don't come out, out
I'm not where you left me at all, so


If you don't wanna see me dancing with somebody
If you wanna believe that anything could stop me


Don't show up (Don't show up), don't come out (Don't come out)
Don't start caring about me now ('Bout me now)
Walk away (Walk away), you know how (You know how)
Don't start caring about me now (So)


Up, up
Don't come out, out, out
Don't show up, up, up
Walk away, walk away (So)
Up, up
Don't come out, out, out
Don't show up, up, up
Walk away, walk away, oh"
13,The Box,['Roddy Ricch'],"['melodic rap', 'rap']","
Pullin' out the coupe at the lot
Told 'em fuck 12, fuck SWAT
Bustin' all the bells out the box
I just hit a lick with the box
Had to put the stick in the box, mmh
Pour up the whole damn seal, I'ma get lazy
I got the mojo deals, we been trappin' like the '80s
She sucked a nigga soul, gotta Cash App
Told 'em wipe a nigga nose, say slatt, slatt
I won't never sell my soul, and I can back that
And I really wanna know where you at, at


I was out back where the stash at
Cruise the city in a bulletproof Cadillac (Skrrt)
'Cause I know these niggas after where the bag at (Yeah)
Gotta move smarter, gotta move harder
Nigga try to get me for my water
I'll lay his ass down, on my son, on my daughter
I had the Draco with me, Dwayne Carter
Lotta niggas out here playin', ain't ballin'
I done put my whole arm in the rim, Vince Carter (Yeah)
And I know probably get a key for the quarter
Shawty barely seen in double C's, I bought 'em
Got a bitch that's looking like Aaliyah, she a model
I got the pink slip, all my whips is key-less
Compton, I'm about to get the key to the city
Patek like the sea, forgive me


Pullin' out the coupe at the lot
Told 'em fuck 12, fuck SWAT
Bustin' all the bells out the box
I just hit a lick with the box
Had to put the stick in the box, mmh
Pour up the whole damn seal, I'ma get lazy
I got the mojo deals, we been trappin' like the '80s
She sucked a nigga soul, gotta Cash App
Told 'em wipe a nigga nose, say slatt, slatt
I won't never sell my soul, and I can back that
And I really wanna know where you at, at, hah


Hahaha, I been movin' 'em out
If Steelo with me, then he got the blues in the pouch (Yeah)
Took her to the forest, put the wood in her mouth
Bitch, don't wear no shoes in my house
The private I'm flyin' in, I never wan' fly again
I'll take my chances in traffic (Yeah)
She suckin' on dick, no hands with it
I just made the Rollie plain like a landing strip
I'm a 2020 president candidate
I done put a hundred bands on Zimmerman, shit
I been movin' real gangster, so that's why she picked a Crip
Shawty call me Crisco 'cause I pop my shit
Got it out the mud, there's nothin' you can tell me, yeah
When I had the drugs, I was street wealthy, yeah


Pullin' out the coupe at the lot
Told 'em fuck 12, fuck SWAT
Bustin' all the bells out the box
I just hit a lick with the box
Had to put the stick in the box, mmh
Pour up the whole damn seal, I'ma get lazy
I got the mojo deals, we been trappin' like the '80s
She sucked a nigga soul, gotta Cash App
Told 'em wipe a nigga nose, say slatt, slatt
I won't never sell my soul, and I can back that
And I really wanna know where you at, at"
16,Savage Remix,"['Megan Thee Stallion', 'Beyoncé']","['houston rap', 'pop', 'pop rap', 'trap queen', 'dance pop', 'pop', 'r&b']","
Queen B, want no smoke with me (Okay)
Been turnt, this motherfucker up eight hundred degree (Yeah)
My whole team eat, chef's kiss, she's a treat (Mwah)
Ooh, she so bougie, bougie, bon appétit


I'm a savage (Yeah), attitude nasty (Yeah, ah)
Talk big shit, but my bank account match it (Ooh)
Hood, but I'm classy, rich, but I'm ratchet (Oh, ah)
Haters kept my name in they mouth, now they gaggin' (Ah, ah)
Bougie, he say, ""The way that thang move, it's a movie"" (Ooh-oh)
I told that boy, ""We gotta keep it low, leave me the room key"" (Ooh-oh)
I done bled the block and now it's hot, bitch, I'm Tunechi (Ooh-oh)
A mood and I'm moody, ah


I'm a savage, yeah (Okay)
Classy, bougie, ratchet, yeah (Okay)
Sassy, moody, nasty, yeah (Hey, hey, nasty)
Acting stupid, what's happening? (Woah, woah, woah, what's happening?)
Bitch, what's happening? (Woah, woah, okay)
Bitch, I'm a savage, yeah  (Okay)
Classy, bougie, ratchet, yeah  (Ratchet)
Sassy, moody, nasty, huh (Nasty)
Acting stupid, what's happening? (Woah, ooh-oh)
Bitch, what's happening? (Ayy, ah, ooh-oh)


Hips tick tock when I dance (Dance)
On that Demon Time, she might start a OnlyFans (OnlyFans)
Big B and that B stand for bands
If you wanna see some real ass, baby, here's your chance
I say, left cheek, right cheek, drop it low, then swang (Swang)
Texas up in this thang, put you up on this game (Game)
IVY PARK on my frame (Frame), gang, gang, gang, gang (Gang)
If you don't jump to put jeans on, baby, you don't feel my pain (Hol' up)
Please don't get me hype (I'm hype), write my name in ice (Ice, ice, ice)
Can't argue with these lazy bitches, I just raise my price
I'm a boss, I'm a leader, I pull up in my two-seater
And my mama was a savage, nigga, got this shit from Tina


I'm a savage, yeah
Classy, bougie, ratchet, yeah (Ratchet, yeah)
Sassy, moody, nasty, yeah (Okay)
Acting stupid, what's happening? (Ah)
Bitch, what's happening? (Ah, what's up?)
Bitch, I'm a savage, yeah
Classy, bougie, ratchet, yeah (Woah, woah, woah, okay)
Sassy, moody, nasty, huh (Ooh, ooh, okay)
Acting stupid, what's happening? (Woah, ah)
Bitch, what's happening? (Ayy, ah, ah)


Like Beyoncé, like me (Like me)
He want a bitch like the Stallion with the knees (With the knees)
He be like, ""Damn, how that thang movin' in them jeans?"" (Yeah, yeah, them jeans)
Ayy, even D4L couldn't do it like me, like me
Ooh, ah, ooh
I done got this body ready just for you
Girl, I hope he don't catch me messin' 'round with you
Talkin' to myself in the mirror like, ""Bitch, you my boo""
I'm the shit, ooh
I need a mop to clean the floor, it's too much drip, ooh
I keep a knot, I keep a watch, I keep a whip, ooh (Keep it real, ooh)
Let's play a game, Simon says I'm still that bitch, ayy
I'm still that bitch, yuh (Ah)


I'm a savage, yeah (Okay)
Classy, bougie, ratchet (Okay)
Sassy, moody, nasty, yeah
Acting stupid, what's happening? (Ah, what's up?)
Bitch, what's happening? (Ah, what's up?)
Bitch, I'm a savage, yuh (Okay)
Classy, bougie, ratchet, yeah (Woah, woah, woah, okay)
Sassy, moody, nasty, huh (Ooh, ooh)
Acting stupid, what's happening? (Ooh, ooh, ah)
Bitch, what's happening? (Ayy, ah, ah)


I heard they askin' for the Queen, they brought some cameras in here
I'm a bad bitch, she's a savage, no comparison here
I'ma flip my hair and look back while I twerk in the mirror
All this money in the room, think some scammers in here
I'm comin' straight up out that Third, I whip the whip like I stirred it (Stirred)
Woodgrain, we swervin', keepin' his mind all on these curves (Uh)
Coupe fly like a bird (Bird), cold on 'em like, ""Brrr"" (Ice)
Always keep my words, no, I don't do crosswords
Stallion when I ride, he like them hot girls with them hips, ah (Skrrt, skrrt)
I hopped that shit, the way I hopped out and slid, ah (Skrrt, skrrt)
I pop my shit, now watch me pop up again, ah (Woah)
I mop the floor, now watch me sweep up these Ms, 'cause I— (Ah)


I'm a savage, yeah (Savage, okay)
Classy, bougie, ratchet, yeah (Okay)
Sassy, moody, nasty, yeah (Nasty)
Acting stupid, what's happening? (What's happening? What's up?)
Bitch, what's happening? (Ah, what's up?)
Bitch, I'm a savage, yeah (Okay, I'm a savage)
Classy, bougie, ratchet, yeah (Woah, woah, woah, okay, bitch)
Sassy, moody, nasty, huh (Yeah, yeah, nasty)
Acting stupid (Woah), what's happening? (What's happening?)
Bitch, what's happening? (Ayy, ah, what's happening?)


I'm a savage
It's Thee Stallion and the B
H-Town, goin' down"
16,Bluebird,['Miranda Lambert'],"['contemporary country', 'country', 'country dawn', 'country road']","
Ooh
Ooh 


Yeah,  I'm a turner
I turn pages all the time
Don't like where I'm at
34  was bad, so I just turn to 35
Yeah,  I'm a keeper
I keep digging down for the deep
Like  the records I'm playing
They might keep you waiting
But you know I'm only playing for keeps


And if the house just keeps on winning
I  got a wildcard up my sleeve
And if love keeps giving me lemons
I'll just mix 'em in my drink
And if the whole wide world stops singing
And all the stars go dark
I'll keep a light on in my soul
Keep a bluebird in my heart


Ooh
Ooh


Well, I'm a giver
Yeah, and I'm still giving 'em hell
Forgiving's pretty hard
So I made an art out of forgettin' 'em well
Yeah, I'm a rhymer
I can turn 20 cents into a 10
And if I get confused and I start to lose
I rhyme a dime 'til it all makes sense


And if the house just keeps on winning
I got a wildcard up my sleeve
And if love keeps giving me lemons
I'll just mix 'em in my drink
And if the whole wide world stops singing
And all the stars go dark
I turn a light on in my soul
And keep a bluebird in my heart


Ooh
Ooh


And if the house just keeps on winning
I got a wildcard up my sleeve
And if love starts giving me lemons
Just mix 'em in my drink
And if the whole wide world stops singing
And all the stars go dark
I'll keep a light on in my soul
Keep a bluebird in my heart
I'll keep a light on in my soul
Keep a bluebird in my heart
Keep a bluebird in my heart


Ooh
And the bluebird sings
Ooh"
