,songName,artistName,lyrics,Verbs,Nouns,Adverbs,Corpus,Word Counts,Unique Word Counts
0,Just a Baby's Prayer at Twilight,['Henry Burr'],"(Verse)
I've heard the prayers of mothers
Some of them old and gray
I've heard the prayers of others
For those who went away
Oft times a prayer will teach one
The meaning of goodbye
I've felt the pain of each one
But this one made me cry

(Pre-Chorus)
Just a baby's prayer at twilight
When lights are low
Her baby's years, are filled with tears
There's mother there at twilight
Who's proud to know
Her precious little tot
Is Dad's forget-me-not
After saying ""Goodnight, Mama""
She climbs upstairs
Quite unaware
And says her prayer

(Chorus)
""Oh, kindly tell my daddy that he must take care""
That's a baby's prayer at twilight
For her daddy, over there

(Instrumental)

(Chorus)
""Oh, kindly tell my daddy that he must take care""
That's a baby's prayer at twilight
For her daddy, over there",hear hear go will teach feel make cry fill know say climb say tell must take tell must take,verse prayer mother prayer other time prayer meaning goodbye pain one baby prayer twilight light baby year tear mother twilight tot forget prayer daddy care baby prayer twilight daddy daddy care baby prayer twilight daddy,away just when there upstairs kindly over there kindly over there, verse hear prayer mother old gray hear prayer go away Oft time prayer teach meaning goodbye feel pain cry pre Chorus baby prayer twilight light low baby year fill tear mother twilight proud know precious little tot Dad forget say Goodnight Mama climb upstairs unaware say prayer Chorus oh kindly tell daddy care baby prayer twilight daddy Instrumental Chorus oh kindly tell daddy care baby prayer twilight daddy ,140,90
1,Rock-A-Bye Your Baby With A Dixie Melody,['Jerry Lewis'],"Rock-a-bye your baby with a Dixie melody â
When you croon
Croon a tune
From the heart of Dixie!

Just hang my cradle, mammy mine
Right on the Mason Dixon line
And swing it from Virginia
To Tennessee with all the love that's in ya!

Weep no more, weep no more, my lady
Sing that song again for me
So soft and low, just as though
You had me on your knee!

A million baby kisses, that I would deliver
The minute that you sing the Swanee River â
Rock-a-bye your rock-a-bye baby with a Dixie melody!

Oh, weep no more, my lady
Sing that song again for me
So soft and low
Just as though
You had me on your knee!

A million baby kisses, that I would deliver
The minute that you sing the Swanee River â
Rock-a-bye your rock-a-bye baby with a Dixie melody!",croon hang swing weep weep sing would deliver sing weep sing would deliver sing,rock bye baby melody â tune heart cradle mine line love lady song knee baby kiss minute bye rock bye baby melody lady song knee baby kiss minute bye rock bye baby melody,when just again so just again so just,rock bye baby Dixie melody croon Croon tune heart Dixie hang cradle mammy right Mason Dixon line swing Virginia Tennessee love ya weep weep lady sing song soft low knee million baby kiss deliver minute sing Swanee River Rock bye rock bye baby Dixie melody oh weep lady sing song soft low knee million baby kiss deliver minute sing Swanee River Rock bye rock bye baby Dixie melody ,147,77
2,I'm Always Chasing Rainbows - Single Version,['Judy Garland'],"I'm always chasing rainbows
Watching clouds drifting by
My schemes are just like all my dreams
Ending in the sky
Some fellows look and find the sunshine
I always look and find the rain
Some fellows make a winning sometime
I never even make a gain, believe me
I'm always chasing rainbows
Waiting to find a little bluebird in vain
Some fellows look and find the sunshine
But I always look and find the rain
Some fellows make a winning sometime
I never even make a gain, believe me
I'm always chasing rainbows
Waiting to find a little bluebird in vain",chase watch drift end look find look find make win make believe chase wait find look find look find make win make believe chase wait find,rainbow cloud scheme dream sky fellow sunshine rain fellow gain rainbow bluebird fellow sunshine rain fellow gain rainbow bluebird,always just always sometime never even always always sometime never even always,chase rainbow watch cloud drift scheme like dream end sky fellow look find sunshine look find rain fellow win gain believe chase rainbow wait find little bluebird vain fellow look find sunshine look find rain fellow win gain believe chase rainbow wait find little bluebird vain,101,43
3,Oh! How I Hate to Get Up in the Morning,['Matt Cherne'],"The other day I chanced to meet a soldier friend of mine,
he'd been in camp for sevral weeks and he was looking fine;
His muscles had developed and his cheeks were rosy red,
I asked him how he liked the life, and this is what he said:
Oh! how I hate to get up in the morning,
Oh! how Id love to remain in bed;
For the hardest blow of all, is to hear the bugler call;
you've got to get up, you've got to get up, you've got to get up this morning!
Some day I'm going to murder the bugler,
Some day they're going to find him dead;
Ill amputate his reveille, and step upon it heavily,
And spend the rest of my life in bed.
Oh! how I hate to get up in the morning,
Oh! how Id love to remain in bed;
For the hardest blow of all, is to hear the bugler call;
you've got to get up, you've got to get up, you've got to get up this morning!
Oh! boy the minute the battle is over,
Oh! boy the minute the foe is dead;
I'll put my uniform away, and move to Philadelphia,
And spend the rest of my life in bed.
A bugler in the army is the luckiest of men,
He wakes the boys at five and then goes back to bed again;
He doesn't have to blow again until the afternoon,
If evry thing goes well with me I'll be a bugler soon.
Oh! how I hate to get up in the morning,
Oh! how Id love to remain in bed;
For the hardest blow of all, is to hear the bugler call;
you've got to get up, you've got to get up, you've got to get up this morning!
Some day I'm going to murder the bugler,
Some day they're going to find him dead;
Ill amputate his reveille, and step upon it heavily,
And spend the rest of my life in bed.
Oh! how I hate to get up in the morning,
Oh! how Id love to remain in bed;
For the hardest blow of all, is to hear the bugler call;
you've got to get up, you've got to get up, you've got to get up this morning!
Oh! boy the minute the battle is over,
Oh! boy the minute the foe is dead;
I'll put my uniform away, and move to Philadelphia,
And spend the rest of my life in bed.",chance meet look develop ask like say hate d love remain hear get get get go murder go find amputate step spend hate d love remain hear get get get will put move spend wake go blow go will hate d love remain hear get get get go murder go find amputate step spend hate d love remain hear get get get will put move spend,day soldier friend mine camp week muscle cheek life morning bed blow bugler call morning day bugler day reveille rest life bed morning bed blow bugler call morning minute battle minute foe uniform rest life bed bugler army man boy bed afternoon evry thing bugler morning bed blow bugler call morning day bugler day reveille rest life bed morning bed blow bugler call morning minute battle minute foe uniform rest life bed,how how how heavily how how over away then back again again well soon how how heavily how how over away,day chance meet soldier friend camp sevral week look fine muscle develop cheek rosy red ask like life say oh hate morning oh d love remain bed hard blow hear bugler get get get morning day go murder bugler day go find dead Ill amputate reveille step heavily spend rest life bed oh hate morning oh d love remain bed hard blow hear bugler get get get morning oh boy minute battle oh boy minute foe dead uniform away Philadelphia spend rest life bed bugler army lucky man wake boy go bed blow afternoon evry thing go bugler soon oh hate morning oh d love remain bed hard blow hear bugler get get get morning day go murder bugler day go find dead Ill amputate reveille step heavily spend rest life bed oh hate morning oh d love remain bed hard blow hear bugler get get get morning oh boy minute battle oh boy minute foe dead uniform away Philadelphia spend rest life bed ,416,122
4,"Hail, Hail the Gang's All Here",['Frank 88 Malone'],"Well the devil's nipping at your heels and this time it's for real
A lonely hunger starts to gnaw as you wish away the pain
Of another desperate dead end day forever filled with sadness
To forget about the pain you take your bottle, drink your grave

[Chorus]
Singing Hail, Hail, the Gangs All Here
Leave your worries at the door boy, they're not going anywhere
Hail, hail the gang's all here
When the going gets tough, I know my friends will still be there
Well you're walking down the road and the wind is in your face
You're down and out and the unemployment line's a mile long
The money in your pocket may not get you through the day
But cheer up son I know a place where mugs like us belong

[Chorus]
Pick your heart up off the ground though I'm sure it weights a ton
You're no better or no worse than any mothers son
Though you're up against all odds and you're backed against the wall
You recall the cheer, ""The Gang's All Here"" and shout!",start gnaw wish fill forget take drink leave go hail go get know will walk may cheer know belong pick weight back recall shout,devil nipping heel time hunger pain end day sadness pain bottle grave worry door boy gang friend road wind face unemployment line mile money pocket day son place mug heart ground ton mother son odd wall cheer,forever all here anywhere here when still there down out long where no up here,devil nipping heel time real lonely hunger start gnaw wish away pain desperate dead end day forever fill sadness forget pain bottle drink grave Chorus Singing Hail Hail Gangs leave worry door boy go Hail hail gang go get tough know friend walk road wind face unemployment line mile long money pocket day cheer son know place mug like belong Chorus pick heart ground sure weight ton well bad mother son odd back wall recall cheer Gang shout ,181,130
5,I'm All Bound 'Round with the Mason-Dixon Line,['Rosy McHargue & Friends'],"My daddy courted my Mammy, away down South; 
they married in Alabammy, away down South; 
and when I came into this world, old Dixie gave me birth, 
that's why I claim that Dixie is the finest place on earth. 
They brought me up in sunny Caroline, 
and they just planted Dixie in the heart of mine.

Last night I lay awake thinking of Dixie land; 
thinking of Abraham Lincoln, and Dixie land; 
he surely loved the stars and stripes, the Southern and the North, 
and his poor heart was broken when the loyal sons marched forth. 
Why no one loved old Dixie more than he, 
excepting that it might have been poor little me.

I'm all abound round with the Mason Dixon Line; 
it's pulling me, back where I used to be; 
when I was younger I knew every lane. 
Now I hunger to be once again; 
back where the robin keeps throbbing pretty melodies; 
and when I'm all bound round with a pair of loving arms, 
Oh! mother mine! I'll know I'm in Caroline; 
I've read a lot about Heaven, but give me Dixie all the time; 
for I've found that I'm bound, bound all around, with the Mason Dixon Line.
My daddy courted my Mammy, away down South; 
they married in Alabammy, away down South; 
and when I came into this world, old Dixie gave me birth, 
that's why I claim that Dixie is the finest place on earth. 
They brought me up in sunny Caroline, 
and they just planted Dixie in the heart of mine.

Last night I lay awake thinking of Dixie land; 
thinking of Abraham Lincoln, and Dixie land; 
he surely loved the stars and stripes, the Southern and the North, 
and his poor heart was broken when the loyal sons marched forth. 
Why no one loved old Dixie more than he, 
excepting that it might have been poor little me.

I'm all abound round with the Mason Dixon Line; 
it's pulling me, back where I used to be; 
when I was younger I knew every lane. 
Now I hunger to be once again; 
back where the robin keeps throbbing pretty melodies; 
and when I'm all bound round with a pair of loving arms, 
Oh! mother mine! I'll know I'm in Caroline; 
I've read a lot about Heaven, but give me Dixie all the time; 
for I've found that I'm bound, bound all around, with the Mason Dixon Line.
",court marry come give claim bring plant lie love break march love except may pull use know hunger keep throb bind will know read give find bind bind court marry come give claim bring plant lie love break march love except may pull use know hunger keep throb bind will know read give find bind bind,daddy world birth place earth heart night thinking land thinking land star stripe heart son one lane robin melody pair arm mother lot time daddy world birth place earth heart night thinking land thinking land star stripe heart son one lane robin melody pair arm mother lot time,away down away down when why just surely when forth why more round back where when now once again back where when round all around away down away down when why just surely when forth why more round back where when now once again back where when round all around,daddy court Mammy away South marry Alabammy away South come world old Dixie give birth claim Dixie fine place earth bring sunny Caroline plant Dixie heart night lie awake thinking Dixie land thinking Abraham Lincoln Dixie land surely love star stripe Southern North poor heart break loyal son march forth love old Dixie except poor little abound round Mason Dixon Line pull young know lane hunger robin keep throb pretty melody bind round pair loving arm oh mother know Caroline read lot Heaven Dixie time find bind bind Mason Dixon Line daddy court Mammy away South marry Alabammy away South come world old Dixie give birth claim Dixie fine place earth bring sunny Caroline plant Dixie heart night lie awake thinking Dixie land thinking Abraham Lincoln Dixie land surely love star stripe Southern North poor heart break loyal son march forth love old Dixie except poor little abound round Mason Dixon Line pull young know lane hunger robin keep throb pretty melody bind round pair loving arm oh mother know Caroline read lot Heaven Dixie time find bind bind Mason Dixon Line ,404,134
6,"Hello Central, Give Me No Man's Land (World War I Song) (1918)",['Al Jolson'],"When the gray shadows creep
And the world is asleep
In the still of the night
Baby climbs down a flight
First she looks all around
Without making a sound
Then baby toddles up to the telephone
And whispers in a baby tone

""Hello, Central, give me No Man's Land
My Daddy's there, my Mama told me;
She tip-toed off to bed
After my prayers were said;
Don't ring when you get the number
Or you'll disturb Mama's slumber

I'm afraid to stand here at the 'phone
'Cause I'm alone
So won't you hurry;
I want to know why Mama starts to weep
When I say, 'Now I lay me down to sleep'
Hello, Central, give me No Man's Land""

""Hello, Central, give me No Man's Land
My Daddy's there, my Mama told me;
She tip-toed off to bed
After my prayers were said;
Don't ring when you get the number
Or you'll disturb Mama's slumber

I'm afraid to stand here at the 'phone
'Cause I'm alone
So won't you hurry;
I want to know why Mama starts to weep
When I say, 'Now I lay me down to sleep'
Hello, Central, give me No Man's Land""",creep climb look make toddle whisper give tell toe say ring get will disturb stand will hurry want know start weep say lie sleep give give tell toe say ring get will disturb stand will hurry want know start weep say lie sleep give,shadow world still night flight sound baby telephone baby tone land tip bed prayer number slumber phone land tip bed prayer number slumber phone,when first all then there when here why when now there when here why when now,gray shadow creep world asleep night Baby climb flight look make sound baby toddle telephone whisper baby tone hello Central Man land Daddy Mama tell tip toe bed prayer say ring number disturb Mama slumber afraid stand phone because will hurry want know Mama start weep lie sleep hello Central Man Land hello Central Man land Daddy Mama tell tip toe bed prayer say ring number disturb Mama slumber afraid stand phone because will hurry want know Mama start weep lie sleep hello Central Man Land ,197,91
7,Over There (Par lÃ -bas),"['George M. Cohan', 'Enrico Caruso', 'Josef Pasternack']","Johnnie, get your gun,
Get your gun, get your gun,
Take it on the run,
On the run, on the run.
Hear them calling, you and me,
Every son of liberty.
Hurry right away,
No delay, go today,
Make your daddy glad
To have had such a lad.
Tell your sweetheart not to pine,
To be proud her boy's in line. 

Over there, over there,
Send the word, send the word over there -
That the Yanks are coming,
The Yanks are coming,
The drums rum-tumming
Everywhere.
So prepare, say a prayer,
Send the word, send the word to beware.
We'll be over, we're coming over,
And we won't come back till it's over
Over there.

Johnnie, get your gun,
Get your gun, get your gun,
Johnnie show the Hun
Who's a son of a gun.
Hoist the flag and let her fly,
Yankee Doodle do or die.
Pack your little kit,
Show your grit, do your bit.
Yankee to the ranks,
From the towns and the tanks.
Make your mother proud of you,
And the old Red, White and Blue. 

Over there, over there,
Send the word, send the word over there -
That the Yanks are coming,
The Yanks are coming,
The drums rum-tumming
Everywhere.
So prepare, say a prayer,
Send the word, send the word to beware.
We'll be over, we're coming over,
And we won't come back till it's over
Over there.",take hear call hurry go make have tell pine send send come come tumme prepare say send send beware will come will come show hoist let fly die pack show make send send come come tumme prepare say send send beware will come will come,gun gun gun run run run son liberty delay today daddy lad sweetheart boy line word word drum rum prayer word word gun gun gun son gun flag kit grit bit rank town tank mother word word drum rum prayer word word,right away over there over there there everywhere so over over back over over there over there over there there everywhere so over over back over over there,Johnnie gun gun gun run run run hear call son liberty hurry right away delay today daddy glad lad tell sweetheart pine proud boy line send word send word Yanks come Yanks come drum rum tumme prepare prayer send word send word beware come will come till Johnnie gun gun gun Johnnie Hun son gun hoist flag let fly Yankee Doodle die pack little kit grit bit Yankee rank town tank mother proud old Red White Blue send word send word Yanks come Yanks come drum rum tumme prepare prayer send word send word beware come will come till ,236,113
8,Tiger Rag,"['The Original Dixieland Five', 'Nick LaRocca']","Hold that tiger
Hold that tiger
Hold that tiger
Hold that tiger
Hold that tiger
Hold that tiger
Hold that tiger

Where's that tiger?
Where's that tiger?
Where's that tiger?
Where's that tiger?
Where's that tiger?
Where's that tiger?
Where's that tiger?",hold hold hold hold hold hold hold,tiger tiger tiger tiger tiger tiger tiger tiger tiger tiger tiger tiger tiger tiger,where where where where where where where,hold tiger hold tiger hold tiger hold tiger hold tiger hold tiger hold tiger tiger tiger tiger tiger tiger tiger tiger ,42,5
9,Say a Prayer for Our Boys Over There (with Henry Burr) [Recorded 1918],['The Peerless Quartet'],"Say a prayer for the boys over there
When they play the Star Spangled Banner
Picture them by the dawn's early light
And ask the Lord to watch over them each night.

Lift your eyes as you silently rise
When they play the Star Spangled Banner
As the song of freedom fills the air
Say a prayer for the boys over there.

All of us are working hand in hand
We're working to preserve this wonderous land
But there is something more we all can do
That will help to bring our loved ones safely through.

Say a prayer for the boys over there
When they play the Star Spangled Banner
Picture them by the dawn's early light
And ask the Lord to watch over them each night.

Lift your eyes as you silently rise
When they play the Star Spangled Banner
As the song of freedom fills the air
Say a prayer for the boys over there.",say play picture ask watch lift rise play fill say work work preserve can will help bring love say play picture ask watch lift rise play fill say,prayer boy dawn light night eye song freedom air prayer boy hand hand land one prayer boy dawn light night eye song freedom air prayer boy,over there when silently when over there safely through over there when silently when over there,prayer boy play Star Spangled Banner picture dawn early light ask Lord watch night lift eye silently rise play Star Spangled Banner song freedom fill air prayer boy work hand hand work preserve wonderous land help bring love one safely prayer boy play Star Spangled Banner picture dawn early light ask Lord watch night lift eye silently rise play Star Spangled Banner song freedom fill air prayer boy ,158,69
10,I'm Sorry I Made You Cry,['Connie Francis'],"I'm sorry dear, so sorry dear
I'm sorry I made you cry
Won't you forget, won't you forgive
Don't let us say goodbye
One little word, one little smile
One little kiss won't you try
It breaks my heart to hear you sigh
I'm sorry I made you cry

One little word, one little smile
One little kiss won't you try
It breaks my heart to hear you sigh
I'm sorry I made you cry",make cry will forget will forgive let say will try break hear sigh make cry will try break hear sigh make cry,word smile kiss heart word smile kiss heart,sorry so,sorry dear sorry dear sorry cry will forget will forgive let goodbye little word little smile little kiss will try break heart hear sigh sorry cry little word little smile little kiss will try break heart hear sigh sorry cry,75,32
11,Smiles,"[""Joseph C. Smith's Orchestra""]","Dearie, now I know just what makes me love you so
Just what holds me and enfolds me in its golden glow
Dearie, now I see ?????? smiles so bright and free
For life's sadness turns to gladness when you smile on me

There are smiles that make us happy
There are smiles that make us blue
There are smiles that steal away the teardrops
As the sunbeams steal away the dew

There are smiles that have a tender meaning
That the eyes of love alone may see
And the smiles that fill my life with sunshine
Are the smiles that you give to me

Dearie, when you smile, ev'rything in life's worthwhile
Love grows fonder as we wander down each magic mile
Dearie, melodies seem to float upon the breeze
Doves are cooing while they're wooing in the leafy trees

(Instrumental Break)

There are smiles that have a tender meaning
That the eyes of love alone may see
And the smiles that fill my life with sunshine
Are the smiles that you give to me
You give to me",know make love hold enfold see smile turn smile make make steal steal may see fill give smile ev'rythe grow wander seem float coo woo may see fill give give,glow life sadness gladness smile smile smile teardrop sunbeam dew smile tender meaning eye love smile life sunshine smile life love mile melody breeze dove tree smile tender meaning eye love smile life sunshine smile,now just so just now so when alone when fonder alone,Dearie know make love hold enfold golden glow Dearie smile bright free life sadness turn gladness smile smile happy smile blue smile steal away teardrop sunbeam steal away dew smile tender meaning eye love smile fill life sunshine smile Dearie smile ev rythe life worthwhile love grow fonder wander magic mile Dearie melody float breeze dove coo woo leafy tree instrumental Break smile tender meaning eye love smile fill life sunshine smile ,180,92
12,The Battle Hymn Of The Republic,"[""United States Army Field Band and Soldiers' Chorus""]","Mine eyes have seen the glory of the coming of the Lord
He is trampling out the vintage where the grapes of wrath are stored
He hath loosed the fateful lightning of His terrible swift sword
His truth is marching on, His truth is marching
Glory, glory, Hallelujah! Glory, glory, Hallelujah!
Glory, glory, Hallelujah! His truth is marching on
I have seen Him in the watch fires of a hundred circling camps
They have builded Him an altar in the evening dews and damps
I can read His righteous sentence by the dim and flaring lamps
His day is marching on
Hallelujah, Hallelujah!
In the beauty of the lilies, Christ was born across the sea
With a glory in His bosom that transfigures you and me
As He died to make men holy, let us live to make men free
While God is marching on
Glory, glory, Hallelujah! Glory, glory, Hallelujah!
Glory, glory, Hallelujah! His truth is marching on!
His truth is marching on! And on and on and on and on and on",see come trample store loose march march march see circle build damp can read flare march bear transfigure die make let live make march march march,eye glory vintage grape wrath lightning swift sword truth truth glory glory glory glory glory glory truth watch fire camp altar evening dew sentence lamp day beauty lily sea glory bosom man man glory glory glory glory glory glory truth truth,where hath on on on on on,eye see glory come Lord trample vintage grape wrath store hath loose fateful lightning terrible swift sword truth march truth march glory glory Hallelujah glory glory Hallelujah glory glory Hallelujah truth march see watch fire circle camp build altar evening dew damp read righteous sentence dim flare lamp day march Hallelujah Hallelujah beauty lily Christ bear sea glory bosom transfigure die man holy let live man free God march glory glory Hallelujah glory glory Hallelujah glory glory Hallelujah truth march truth march ,174,89
13,The Darktown Strutters' Ball,['Alberta Hunter'],"I'll be down to get you in a taxi, honey
Better be ready about half past eight
Now honey, don't be late
I want to be there when the band starts playing
Remember when we get there, honey
The two-steps, I'm goin' to have 'em all
Goin' to dance out both my shoes
When they play the ""Jelly Roll Blues""
Tomorrow night at the Darktown Strutters' Ball...[repeat]",will want start play remember get go go dance play,taxi honey half honey band honey step shoe blue night,down well now there when when there when,taxi honey well ready half past honey late want band start play remember honey step go em go dance shoe play Jelly Roll blue Tomorrow night Darktown Strutters Ball repeat ,67,56
14,After You've Gone,"['Bing Crosby', 'Turner Layton', 'Henry Creamer']","After you've gone and left me crying
After you've gone, there's no denying
You'll feel blue; you're gonna be sad
You've missed the dearest pal that (slickest partner) you ever had

There'll come a time, don't you forget it
(Yeah) there'll come a time when you're gonna regret it
Some day when you get lonely
Your heart will break like mine (and) you'll want me only

After you've gone (split) after you've gone away (flown the coop)

After we paid our dues together
You should have stayed through all that nasty weather
Someday while you're feeling badly
You'll need the only one that loves you so madly

But I'll be gone; yes, I'll be gone to stay
Yeah, after I've gone after I've gone away",go leave cry go deny will feel go miss will come forget will come go regret get will break will want go split go fly pay should stay feel will need love will go will go stay go go,pal partner time time day heart coop due weather,ever when when only away together badly so madly away,go leave cry go deny feel blue go to sad miss dear pal slick partner come time forget yeah come time go to regret day lonely heart break like want go split go away fly coop pay due stay nasty weather Someday feel badly need love madly go yes go stay yeah go go away,125,90
15,Somewhere In France Is the Lily (Recorded 1918),['Charles Hart'],"One day as morning shed its glow
Across the eastern sky,
A boy and girl in accents low,
In a garden said ""Goodbye!""
She said, ""Remember as you stray,
When each must do his share,
The flowers blooming here today
Are emblems over there!""
 
Chorus:
Somewhere in France is the Lily,
Close by the English Rose;
A Thistle so keen, and a Shamrock green,
And each loyal flow'r that grows.
Somewhere in France is a sweetheart,
Facing the battle's chance,
For the flow'r of our youth fights for freedom and truth
Somewhere in France.
Each morning in that garden fair,
Where sweetest perfumes dwell,
The lassie whispers low a pray'r
For the flowr's she loves so well.
And over there as night draws near,
Amid the shot and flame,
Unto the flag he holds so dear,
A soldier breathes her name.",shed say say remember stray must bloom grow face perfume whisper love draw hold breathe,day morning glow sky boy girl accent garden share flower today emblem green flow'r sweetheart battle chance flow'r youth fight freedom truth morning garden dwell pray'r flowr night shot flame flag soldier name,when here over there close so where so well over there near so,day morning shed glow eastern sky boy girl accent low garden say goodbye say remember stray share flower bloom today emblem Chorus France Lily close English Rose Thistle keen Shamrock green loyal flow r grow France sweetheart face battle chance flow r youth fight freedom truth France morning garden fair sweet perfume dwell lassie whisper low pray r flowr love night draw near amid shot flame unto flag hold dear soldier breathe ,141,105
16,Oui Oui Marie (Recorded 1918),['Arthur Fields'],"Poor Johnny's heart went pitty pat, Somewhere in sunny
France He met a girl by chance with ze naughty naughty
Glance, She looked just like a kitty kitty cat, She loved
To dance and play, Tho' he learned no French when he left
The trench, He knew well enough to say:
Wee Wee Marie, will you do zis for me Wee Wee Marie,
Then I'll do zat for you, I love your eyes they make me feel
So spoony, You'll drive me loony, you're teasing me, Why
Can't we parleyvous like other sweethearts do, I want a
Kiss or two from Ma Cherie, Wee Wee Marie, if you'll
Do zis for me Then I'll do zat for you,
Wee Wee Marie.They walked along the boule boulevard, He whispered
""You for me, Some day in gay Paree I will make you
Marry me"", Just then a bunch of bully bully boys,
Threw kisses on the sly, Marie got wise when they rolled
Their eyes, They sang as they passed her by.",go meet look love dance play learn leave know say will zis will love make feel will drive tease can want will zis will walk whisper will make marry get roll sing pass,heart pat girl chance kitty cat trench eye loony sweetheart boule boulevard day gay bunch bully bully boy kiss eye,somewhere just when well enough then so why then just then when by,Poor Johnny heart go pitty pat sunny France meet girl chance ze naughty naughty Glance look like kitty kitty cat love dance play Tho learn French leave trench know Wee Wee Marie zis Wee Wee Marie zat love eye feel spoony drive loony tease parleyvous like sweetheart want Kiss Ma Cherie Wee Wee Marie zis zat Wee Wee Marie walk boule boulevard whisper day gay Paree marry bunch bully bully boy Threw kiss sly Marie get wise roll eye sing pass ,170,125
