,songName,artistName,lyrics,Verbs,Nouns,Adverbs,Corpus,Word Counts,Unique Word Counts
0,Pistol Packin' Mama - Single Version,"['Bing Crosby', 'The Andrews Sisters', 'Vic Schoen & His Orchestra']","Lay that pistol down, babe
Lay that pistol down
Pistol packing mama
Lay that pistol down
Oh, drinking beer in a cabaret
Was I having fun
Until one night she caught me right
And now I'm on the run
Oh, lay that pistol down, babe
Lay that pistol down
Pistol packing mama
Lay that pistol down
Oh, I'll sing you every night Bing
And I'll woo you every day
I'll be your regular mama
And I'll put that gun away
Oh, lay that pistol down, babe
Lay that pistol down
Pistol packing mama
Lay that thing down
Before it goes off
And hurts somebody
Oh, she kicked out my windshield
And she hit me over the head
She cussed and cried and said I lied
And she wished that I was dead
Oh, lay that pistol down, babe
Lay that pistol down
Pistol packing mama
Lay that pistol down
We're three tough gals
From deep down Texas way
We got no pals
They don't like the way we play
We're a rough rooting tooting shooting trio
But you ought to see my sister Cleo
She's a terror make no error
But there ain't no nicer terror
Here's what we tell her
Lay that pistol down, babe
Lay that pistol down
Pistol packing mama
Lay that pistol down
Pappy made a batch of corn
The revenuers came
The drought was slow
So now they know
You can't do that to Mame
Oh, lay that pistol down, babe
Lay that pistol down
Pistol packing mama
Lay that pistol down
Oh, singing songs in a cabaret
Was I having fun
Until one night it didn't seem right
And now I'm on the run
Oh, lay that pistol down, babe
Lay that pistol down
Pistol packing mama
Lay that pistol down
Oh, pistol packing mama
Lay that pistol down",pack drink have catch lie pack will sing will woo will will put lie pack go hurt kick hit cuss cry say lie wish lie pack get like play root toot ought see make be tell pack make come know can lie pack singe have seem lie pack pack,pistol pistol mama pistol beer cabaret night run pistol pistol mama pistol night day mama gun pistol pistol mama thing windshield head pistol pistol mama pistol gal way pal way shooting trio sister terror error terror pistol pistol mama pistol batch corn revenuer drought pistol pistol mama pistol song cabaret night run pistol pistol mama pistol mama pistol,down down right now down down away down down down down deep no here down so now down down now down down down,Lay pistol babe Lay pistol Pistol pack mama Lay pistol oh drink beer cabaret have fun night catch right run oh lie pistol babe Lay pistol Pistol pack mama Lay pistol oh sing night Bing woo day regular mama gun away oh lie pistol babe Lay pistol Pistol pack mama Lay thing go hurt somebody oh kick windshield hit head cuss cry say lie wish dead oh lie pistol babe Lay pistol Pistol pack mama Lay pistol tough gal deep Texas way get pal like way play rough root toot shooting trio ought sister Cleo terror error be nice terror tell Lay pistol babe Lay pistol Pistol pack mama Lay pistol Pappy batch corn revenuer come drought slow know Mame oh lie pistol babe Lay pistol Pistol pack mama Lay pistol oh singe song cabaret have fun night right run oh lie pistol babe Lay pistol Pistol pack mama Lay pistol oh pistol pack mama Lay pistol,305,129
1,Paper Doll,['John Mayer'],"Paper doll come try it on
And step out of that black chiffon
Here's a dress of gold and blue
Sure was fun being good to you

This one we made just for fall
And winter runs a bit too small
This mint green is new for spring
My love didn't cost a thing

You're like 22 girls in one
And none of them know what they're running from
Was it just too far to fall
For a little paper doll?

Fold a scarf, Moroccan red
And tie your hair behind your head
Strap into some heels that hurt
You shoulda kept my undershirt

You're like 22 girls in one
And none of them know what they're running from
Was it just too far to fall
For a little paper doll?

Cut the cord and pull some strings
And make yourself some angel wings
And if those angel wings don't fly
Someone's gonna paint you another sky

'Cause you're like 22 girls in one
And none of them know what they're running from
Was it just too far to fall
Was it just too far to fall",come try step make run cost know run fall fold tie hurt keep know run fall cut pull make fly go paint know run fall fall,paper doll chiffon dress gold one fall winter bit mint green spring love thing girl none paper doll scarf red hair head heel shoulda undershirt girl none paper doll cord string angel wing angel wing sky girl none,here just too just too far just too far just too far just too far,paper doll come try step black chiffon dress gold blue sure fun good fall winter run bit small mint green new spring love cost thing like 22 girl know run far fall little paper doll fold scarf moroccan red tie hair head Strap heel hurt shoulda keep undershirt like 22 girl know run far fall little paper doll cut cord pull string angel wing angel wing fly go to paint sky because like 22 girl know run far fall far fall,187,105
2,I've Heard That Song Before,['Harry James'],"It seems to me I've heard that song before
It's from an old familiar score
I know it well, that melody
It's funny how a theme recalls a favorite dream
A dream that brought you so close to me
I know each word because I've heard that song before
The lyrics said ""Forever more""
Forever more's a memory
Please have them play it again
And I'll remember just when
I heard that lovely song before",seem hear know recall bring know hear say play will remember hear,song score melody theme dream dream word song lyric memory song,how so close forever more forever again just when before,hear song old familiar score know melody funny theme recall favorite dream dream bring close know word hear song lyric say forever forever memory play remember hear lovely song,75,54
3,You'll Never Know,['Dick Haymes'],"You'll never know just how much I miss you
You'll never know just how much I care
And if I tried, I still couldn't hide my love for you
You ought to know or haven't I told you so
A million or more times?

You went away and my heart went with you
I speak your name in my every prayer
If there is some other way to prove that I love you
I swear I don't know how
You'll never know if you don't know now

You went away and my heart went with you
I speak your name in my every prayer
If there is some other way to prove that I love you
I swear I don't know how
You'll never know if you don't know now
You'll never know if you don't know now",will know miss will know care try could hide ought know tell go go speak prove love swear know will know know go go speak prove love swear know will know know will know know,love time heart name prayer way heart name prayer way,never just how much never just how much still so away how never now away how never now never now,know miss know care try hide love ought know tell million time go away heart go speak prayer way prove love swear know know know go away heart go speak prayer way prove love swear know know know know know,138,52
4,"Sunday, Monday Or Always",['Jimmy Scott'],"Oh, won't you tell me when
We will meet again
Sunday, Monday or always
If you're satisfied
I'll be at your side
Sunday, Monday or always
No need to tell me now
What makes the world go 'round
When at the sight of you
My heart begins to pound and pound
And what am I to do
Can't I be with you
Sunday, Monday or always
Oh, won't you tell me when
We will meet again
Sunday, Monday or always
If you're satisfied
I'll be at your side
Sunday, Monday or always
No need to tell me now
What makes the world go 'round
When at the sight of you
My heart begins to pound, pound, pound
What am I to do
Can't I be with you
Sunday, Monday or always",will tell will meet will tell make go begin pound can will tell will meet will tell make go begin pound can,side need world round sight heart pound side need world round sight heart pound pound,when again always always now when always when again always always now when always,oh will tell meet Sunday Monday satisfied Sunday Monday need tell make world round sight heart begin pound pound Sunday Monday oh will tell meet Sunday Monday satisfied Sunday Monday need tell make world round sight heart begin pound pound pound Sunday Monday,131,48
5,My Heart Tells Me (with Mark Warnow & The Hit Parade Orchestra),"['Frank Sinatra', 'Mark Warnow & The Hit Parade Orchestra']","My heart tells me this is just a fling
And yet you say our love means everything
Do you mean what you are saying
Or is this a little game you're playing?

My heart tells me I will cry again
Lips that kiss like yours could lie again
If I'm fool enough to see this through, will I
Be sorry if I do? Should I believe my heart or you?

My heart tells me I will cry again
'Cause lips that kiss like yours could lie again
If I'm fool enough to see this through, will I
Be sorry if I do? Should I believe my heart or you?",tell say mean mean say play tell will cry kiss could lie see will Should believe tell will cry kiss could lie see will Should believe,heart fling love game heart lip fool heart heart lip fool heart,just yet again again again again,heart tell fling love mean mean say little game play heart tell cry lip kiss like lie fool sorry believe heart heart tell cry because lip kiss like lie fool sorry believe heart ,109,56
6,In the Blue of Evening,['Asi Kaplan Jazz Band'],"In the blue of evening when you appear close to me, dear one
There in the dusk we'll share a dream reverie
In the blue of evening while crickets call and stars are falling
There 'neath the midnight sky you'll come to me
In the shadows of the night we'll stand, I'll touch your hand
And then, softly as your lovely eyes entreat, our lips will meet again
In the blue of evening, night winds above whisper I love you
There will we find romance in the blue of evening",appear dear will share fall will come will stand will touch will meet whisper love will find,blue evening dusk dream reverie blue evening cricket call star midnight sky shadow night hand eye entreat lip blue evening night wind romance blue evening,when close there neath then softly again,blue evening appear close dear dusk share dream reverie blue evening cricket star fall neath midnight sky come shadow night stand touch hand softly lovely eye entreat lip meet blue evening night wind whisper love find romance blue evening,90,62
7,Taking A Chance On Love - Rechanneled Stereo Version,"['Benny Goodman', 'Label Copy Conversion/Sony Music Special Products Unknown']","Here I go again, I hear those trumpets blow again.
All aglow again, takin' a chance on love.
Here I slide again, about to take that ride again.
Starry-eyed again, takin' a chance on love.
I thought that cards were a frame-up, I never would try.
Now I'm taking that game up and the ace of hearts is high.
Things are mending now, I see a rainbow blending now.
We'll have a happy ending now, takin' a chance on love.
Here I slip again, about to take that trip again.
I got that grip again, takin' a chance on love.
Now I prove again that I can make life move again.
Um - I'm in the groove again, takin' a chance on love.
I walk around with a horse shoe, in clover I lie.
And brother rabbit of course you better kiss your, foot good-bye.
On that ball again I'm ridin' for a fall again.
I'm gonna give my all again takin' a chance on love.",go hear blow slide take eye think would try take mend see will slip take get prove can make move walk lie kiss foot go give,trumpet aglow chance love ride starry chance love card frame up game ace heart thing rainbow blending ending chance love trip grip chance love life groove chance love horse shoe clover brother rabbit course ball fall takin chance love,here again again again here again again again never now now now now here again again again now again again again around well again again again, hear trumpet blow aglow takin chance love slide ride starry eye takin chance love think card frame try take game ace heart high thing mend rainbow blending happy ending takin chance love slip trip get grip takin chance love prove life um groove takin chance love walk horse shoe clover lie brother rabbit course well kiss foot good bye ball ridin fall go to takin chance love ,166,94
8,Comin' in on a Wing and a Prayer,['Ry Cooder'],"One of our planes was missing 
Two hours overdue 
One of our planes was missing 
With all its gallant crew 
The radio sets were humming 
We waited for a word 
Then a noise broke 
Through the humming and this is what we heard 

Comin' in on a wing and a prayer 
Comin' in on a wing and a prayer 
Though there's one motor gone 
We can still carry on 
Comin' in on a wing and a prayer 

What a show, what a fight, boys 
We really hit our target for tonight 
How we sing as we limp through the air 
Look below, there's our field over there 
With just one motor gone
We can still carry on 
Comin' in on a wing and a prayer 

Comin' in on a wing and a prayer 
Comin' in on a wing and a prayer 
With our full crew on board 
And our trust in the Lord 
We're comin' in on a wing and a prayer",miss miss hum wait break hear go can carry hit sing limp look go can carry,plane hour plane crew radio set word noise humming wing prayer wing prayer motor wing prayer show fight boy target tonight air field motor wing prayer wing prayer wing prayer crew board trust wing prayer,then in in still in really how below over there just still in in in,plane miss hour overdue plane miss gallant crew radio set hum wait word noise break humming hear Comin wing prayer Comin wing prayer motor go carry Comin wing prayer fight boy hit target tonight sing limp air look field motor go carry Comin wing prayer Comin wing prayer Comin wing prayer crew board trust Lord comin wing prayer,162,75
9,Why Don't You Fall in Love with Me,['Carroll Gibbons And The Savoy Hotel Orpheans'],"As long as you're not in love with anyone else,
Why don't you fall in love with me,
You're drivin' me crazy, baby, try to be gay
Will you tell me no, or will you tell me yea,
You gotta go overboard for someone someday
Believe it or not, it's bound to be
As long as you're not in love with anyone else,
Why don't you fall in love with me,",fall try Will tell will tell got go believe bind fall,love love baby love love,as long else why overboard someday as long else why,long love fall love drivin crazy baby try gay tell tell yea got to overboard someday believe bind long love fall love ,71,42
