songName,artistName,lyrics
Pistol Packin' Mama - Single Version,"['Bing Crosby', 'The Andrews Sisters', 'Vic Schoen & His Orchestra']",
Paper Doll,['John Mayer'],
I've Heard That Song Before,['Harry James'],
You'll Never Know,['Dick Haymes'],
"Sunday, Monday Or Always",['Jimmy Scott'],
My Heart Tells Me (with Mark Warnow & The Hit Parade Orchestra),"['Frank Sinatra', 'Mark Warnow & The Hit Parade Orchestra']",
In the Blue of Evening,['Asi Kaplan Jazz Band'],
Taking A Chance On Love - Rechanneled Stereo Version,"['Benny Goodman', 'Label Copy Conversion/Sony Music Special Products Unknown']",
Comin' in on a Wing and a Prayer,['Ry Cooder'],
Why Don't You Fall in Love with Me,['Carroll Gibbons And The Savoy Hotel Orpheans'],
Don't Get Around Much Anymore,['Duke Ellington'],
It Can't Be Wrong,['Dick Haymes'],
All or Nothing at All,['Frank Sinatra'],
People Will Say We're In Love,"['Damon Daunno', 'Rebecca Naomi Jones']",
They're Either Too Young or Too Old,['Sarah Spiegel'],
Shoo-Shoo Baby - Digitally Remastered '03,['The Andrews Sisters'],
As Time Goes By,['Dooley Wilson'],
It Started All Over Again,['Frank Sinatra'],
Why Don't You Do Right?,"['Amy Irving', 'Charles Fleischer']",
I'll Be Home for Christmas,['Kelly Clarkson'],
You'd Be So Nice to Come Home To,"['Marisa Anderson', ""Tara Jane O'Neil""]",
Moonlight Becomes You,['Bing Crosby'],
For Me And My Gal,"['Judy Garland', 'Gene Kelly', 'David Rose And His Orchestra']",
I Heard You Cried Last Night (with Mark Warnow & The Hit Parade Orchestra),"['Frank Sinatra', 'Mark Warnow & The Hit Parade Orchestra']",
Boogie Woogie Bugle Boy,['The Andrews Sisters'],
Let's Get Lost,"['Kay Kyser & His Orch., vocals Harry, Julie, Trudy, Jack & Max']",
"Oh, What a Beautiful Morning","['Billy Porter', 'Pentatonix']",
These Foolish Things,['Dick Haymes'],
How Deep Is The Ocean,['Dick Haymes'],
It Had to Be You,"['Dick Haymes', 'Helen Forrest']",
"""Murder"" He Says",['Four Vagabonds'],
It's Always You,['Frank Sinatra'],
Victry Polka,['Harry James'],
In My Arms,"['Dick Haymes & The Song Spinners', 'Dick Haymes']",
All Of Me,"['Harry James', 'The Song Spinners']",
White Christmas,['Bing Crosby'],
Let's Get Lost,['Vaughn Monroe'],
That Old Black Magic,['Ella Fitzgerald'],
Close To You - Remastered,['Frank Sinatra'],
Don't Cry Baby,['Erskine Hawkins'],
