,rating,songName,artistName,genre
0,1,Pistol Packin' Mama - Single Version,"['Bing Crosby', 'The Andrews Sisters', 'Vic Schoen & His Orchestra']","['adult standards', 'easy listening', 'lounge', 'vocal jazz', 'adult standards', 'lounge', 'swing', 'torch song', 'vocal harmony group', 'vocal jazz']"
1,2,Paper Doll,['John Mayer'],"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']"
2,3,I've Heard That Song Before,['Harry James'],"['adult standards', 'big band', 'jazz trumpet', 'lounge', 'stride', 'swing', 'vocal jazz']"
3,4,You'll Never Know,['Dick Haymes'],"['adult standards', 'big band', 'deep adult standards', 'easy listening', 'lounge', 'swing']"
4,5,"Sunday, Monday Or Always",['Jimmy Scott'],['vocal jazz']
5,6,My Heart Tells Me (with Mark Warnow & The Hit Parade Orchestra),"['Frank Sinatra', 'Mark Warnow & The Hit Parade Orchestra']","['adult standards', 'easy listening', 'lounge']"
6,7,In the Blue of Evening,['Asi Kaplan Jazz Band'],[]
7,8,Taking A Chance On Love - Rechanneled Stereo Version,"['Benny Goodman', 'Label Copy Conversion/Sony Music Special Products Unknown']","['adult standards', 'bebop', 'big band', 'jazz', 'jazz clarinet', 'lounge', 'stride', 'swing', 'vintage jazz', 'vocal jazz']"
8,9,Comin' in on a Wing and a Prayer,['Ry Cooder'],"['blues', 'blues rock', 'classic rock', 'country blues', 'country rock', 'folk', 'folk rock', 'mellow gold', 'piedmont blues', 'roots rock', 'singer-songwriter', 'traditional folk']"
9,10,Why Don't You Fall in Love with Me,['Carroll Gibbons And The Savoy Hotel Orpheans'],['british dance band']
10,11,Don't Get Around Much Anymore,['Duke Ellington'],"['adult standards', 'african-american classical', 'bebop', 'big band', 'cool jazz', 'harlem renaissance', 'jazz', 'jazz piano', 'lounge', 'swing', 'vocal jazz']"
11,12,It Can't Be Wrong,['Dick Haymes'],"['adult standards', 'big band', 'deep adult standards', 'easy listening', 'lounge', 'swing']"
12,13,All or Nothing at All,['Frank Sinatra'],"['adult standards', 'easy listening', 'lounge']"
13,14,People Will Say We're In Love,"['Damon Daunno', 'Rebecca Naomi Jones']","['broadway', 'broadway']"
14,15,They're Either Too Young or Too Old,['Sarah Spiegel'],[]
15,16,Shoo-Shoo Baby - Digitally Remastered '03,['The Andrews Sisters'],"['adult standards', 'lounge', 'swing', 'torch song', 'vocal harmony group', 'vocal jazz']"
16,17,As Time Goes By,['Dooley Wilson'],[]
17,18,It Started All Over Again,['Frank Sinatra'],"['adult standards', 'easy listening', 'lounge']"
18,19,Why Don't You Do Right?,"['Amy Irving', 'Charles Fleischer']",[]
19,20,I'll Be Home for Christmas,['Kelly Clarkson'],"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'talent show', 'viral pop']"
20,21,You'd Be So Nice to Come Home To,"['Marisa Anderson', ""Tara Jane O'Neil""]","['american primitive', 'drone folk', 'experimental psych', 'freak folk', 'new weird america']"
21,22,Moonlight Becomes You,['Bing Crosby'],"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
22,23,For Me And My Gal,"['Judy Garland', 'Gene Kelly', 'David Rose And His Orchestra']","['adult standards', 'hollywood', 'lounge', 'torch song', 'vocal jazz', 'adult standards', 'lounge', 'movie tunes', 'vintage hollywood']"
23,24,I Heard You Cried Last Night (with Mark Warnow & The Hit Parade Orchestra),"['Frank Sinatra', 'Mark Warnow & The Hit Parade Orchestra']","['adult standards', 'easy listening', 'lounge']"
24,25,Boogie Woogie Bugle Boy,['The Andrews Sisters'],"['adult standards', 'lounge', 'swing', 'torch song', 'vocal harmony group', 'vocal jazz']"
25,26,Let's Get Lost,"['Kay Kyser & His Orch., vocals Harry, Julie, Trudy, Jack & Max']",[]
26,27,"Oh, What a Beautiful Morning","['Billy Porter', 'Pentatonix']","['broadway', 'hollywood', 'show tunes', 'a cappella']"
27,28,These Foolish Things,['Dick Haymes'],"['adult standards', 'big band', 'deep adult standards', 'easy listening', 'lounge', 'swing']"
28,29,How Deep Is The Ocean,['Dick Haymes'],"['adult standards', 'big band', 'deep adult standards', 'easy listening', 'lounge', 'swing']"
29,30,It Had to Be You,"['Dick Haymes', 'Helen Forrest']","['adult standards', 'big band', 'deep adult standards', 'easy listening', 'lounge', 'swing', 'big band', 'swing', 'torch song']"
30,31,"""Murder"" He Says",['Four Vagabonds'],['vocal harmony group']
31,32,It's Always You,['Frank Sinatra'],"['adult standards', 'easy listening', 'lounge']"
32,33,Victry Polka,['Harry James'],"['adult standards', 'big band', 'jazz trumpet', 'lounge', 'stride', 'swing', 'vocal jazz']"
